,2023-02-24,2023-02-28,2023-03-04,2023-03-08,2023-03-12,2023-03-16,2023-03-20,2023-03-24,2023-03-28,2023-04-01,2023-04-05,2023-04-09,2023-04-13,2023-04-17,2023-04-21,2023-04-25,2023-04-29,2023-05-03,2023-05-07,2023-05-11,2023-05-15,2023-05-19,2023-05-23,2023-05-27,2023-05-31,2023-06-04
2023-02-24,1.0,1.004635898055069,1.005870533116701,1.0052063077988909,1.007211717359906,1.0135033077971483,1.013213974975214,1.0144395381128408,1.0152399720444896,1.0171609457759676,1.0174000248633026,1.016920878648062,1.0173041867718826,1.0182844149886114,1.0179287380456805,1.0183099369257893,1.0186581827926249,1.018900442394979,1.0192027765455842,1.0209010442233317,1.0206297624134986,1.0208701111950025,1.020850082577429,1.01996594666089,1.020398616853495,1.0202365521798638
2023-02-28,0,1.0,1.0038590035306953,1.0041435708125792,1.0057018266130238,1.0087231686819254,1.0101752869704628,1.0110855653548605,1.011875391981426,1.012466073003274,1.0115898046731653,1.011352520652973,1.011818079528386,1.0127758013361696,1.0125699282229803,1.013256147341247,1.013354660233888,1.01374118718018,1.0137216152126007,1.0166568030920755,1.0168319529001961,1.0172656217669775,1.0176518809904256,1.0180330293220814,1.0184684866581677,1.0187183667509176
2023-03-04,0,0,1.0,1.0015156673830863,1.0024440949470657,1.0009667600321028,1.0049190774610919,1.0053796468776073,1.0061443777613024,1.0049181416692585,1.002489950302884,1.0025546576880002,1.0031374563134683,1.0041190478303403,1.0040691560316142,1.0051497079206633,1.0049155279260111,1.0054904559990356,1.0050379277416808,1.0096888233086088,1.0104613902268467,1.011162902948162,1.0121141620682201,1.0142588189796764,1.0147194410461355,1.0155482107482237
2023-03-08,0,0,0,1.0,1.0007897877643814,0.9985813533855681,1.0028041709529154,1.0032173285280328,1.0039322625423113,1.0024306118700088,0.9998337036839443,1.0000106900072778,1.0006106895323994,1.001580817230758,1.0015724126175214,1.0026964126342517,1.0024122137089206,1.0030161427396076,1.0024956268016196,1.007364821545851,1.0082399496754983,1.0089778152455886,1.0100185691729482,1.0124426413579515,1.0128955746736814,1.0138091483236231
2023-03-12,0,0,0,0,1.0,0.9985201025884526,1.002207801197341,1.0027166649120334,1.0034023583415541,1.0022079440762472,0.999932310566091,1.0001157508600624,1.0006940073410822,1.0016356324532818,1.0016254889660823,1.0026745474006449,1.0024451213251087,1.003019102081926,1.0025686935058353,1.0071070116963345,1.007892836019785,1.0085809262878926,1.0095264572849585,1.0116532471125905,1.0120879311511242,1.0128975161837204
2023-03-16,0,0,0,0,0,1.0,1.0004623307088065,1.001536852194318,1.0021882849025832,1.0030391843152215,1.0026975831449825,1.0026987953831217,1.0031301591625545,1.0039157775278555,1.0038449373962746,1.0044520426286057,1.0045864880379032,1.004959028862486,1.0049863730601374,1.0074386538823383,1.0075904793323123,1.007959975250408,1.0082561248249353,1.0083668823686465,1.0087136609712162,1.0088449779134554
2023-03-20,0,0,0,0,0,0,1.0,1.0008310707471557,1.0013622435482135,1.0010516655941777,0.999835474660763,1.000166711200397,1.0006784159880122,1.001479793103671,1.0015239926018926,1.0023425293500068,1.0022674789670214,1.002761072669181,1.0025058503725612,1.0060038983554707,1.0065610407166943,1.0070970874408847,1.0077703675939176,1.0090480723594353,1.0093980053195444,1.0098973583526745
2023-03-24,0,0,0,0,0,0,0,1.0,1.0004500115015127,1.0004319786066225,0.9996238719068877,1.0000591659689098,1.0005471790698892,1.0012775241635308,1.0013648464828153,1.0021006235854726,1.0020753043309434,1.0025447312730704,1.0023513067102738,1.0054675016074082,1.0059609421153746,1.0064428740091838,1.0070267149533179,1.0080256414827395,1.008333755478845,1.0087254999172084
2023-03-28,0,0,0,0,0,0,0,0,1.0,1.000098729349999,0.9994709882922445,0.9999652278998941,1.000443505809812,1.0011396064715372,1.0012505687252293,1.0019503772530642,1.0019446933009026,1.0024050124973976,1.002235429984682,1.0051882957007539,1.005659842453848,1.006119068300101,1.0066678076874496,1.0075571339212799,1.0078448313126276,1.0081923380385442
2023-04-01,0,0,0,0,0,0,0,0,0,1.0,1.000265951716037,1.000737626872965,1.0011452700624994,1.0017003807700438,1.0018508584173793,1.0023805873942262,1.0025218728672707,1.0029052682169828,1.0029336075447042,1.004938841683657,1.0051598703057258,1.0054774751054525,1.0057405330276066,1.0057486898583228,1.0059684150442125,1.0060148160085274
