,2023-02-24,2023-02-28,2023-03-04,2023-03-08,2023-03-12,2023-03-16,2023-03-20,2023-03-24,2023-03-28,2023-04-01,2023-04-05,2023-04-09,2023-04-13,2023-04-17,2023-04-21,2023-04-25,2023-04-29,2023-05-03,2023-05-07,2023-05-11,2023-05-15,2023-05-19,2023-05-23,2023-05-27,2023-05-31,2023-06-04
2023-02-24,1.0,1.0041369308296975,1.0444413367418646,1.0552799406070692,1.0690003433472381,1.087267853770289,1.1002775275323333,1.1086323266185811,1.1231091053176738,1.1330945010752425,1.1351808859411097,1.1328209875123294,1.1356488179399666,1.1380539062497639,1.1393035386583388,1.1434637711842524,1.14575448473449,1.1477907682240953,1.1505671950234626,1.1549988311382808,1.1567175351315464,1.159924321716747,1.1615340428933922,1.1613480023212155,1.1640923674848218,1.166612578507706
2023-02-28,0,1.0,1.0433044891203291,1.0551940270553477,1.0687132248950004,1.0843444639128552,1.0991365387159988,1.107353973964712,1.1220403173185396,1.1310272601240676,1.1321876789625875,1.1300096433103943,1.1329652007081896,1.135427940942562,1.1368075535911781,1.1412855825064137,1.1434085846074546,1.145604178519072,1.1481562747384555,1.1537470830107595,1.155879714843418,1.1593106036365397,1.161311736553878,1.16226143789374,1.1650654527073736,1.1680005702306895
2023-03-04,0,0,0.9999999999999999,1.0178479553960695,1.0300943394396318,1.0408898751922635,1.0573079605335416,1.0661671842850886,1.0799080622670032,1.0874669107706503,1.0883666584004565,1.0883211793389083,1.0917120897825372,1.0944901712248056,1.0962150596453988,1.1006700303755004,1.1026371901988032,1.1052065845992112,1.107369998064966,1.1145534664001797,1.1174246883119239,1.1210740733040359,1.1238357261798109,1.12687971394309,1.1297474711669309,1.1332158014114777
2023-03-08,0,0,0,0.9999999999999999,1.011743686522331,1.021464261964737,1.0377598779246566,1.0470285259751664,1.0602348095928313,1.0676068741098705,1.0688768857122641,1.0698059867566103,1.0733512453880267,1.0762426749264091,1.078093288192776,1.0823910710147044,1.0843690304741038,1.0870480414597703,1.0891379029337127,1.0965127450221306,1.0995596786937836,1.103215791150342,1.1061651349382613,1.1096855573160072,1.112553921944677,1.116088499357483
2023-03-12,0,0,0,0,1.0,1.0101008159316087,1.0255561123781098,1.035158807746807,1.0479532722000247,1.055615761309618,1.0575194220854371,1.059014397756394,1.0626076883671964,1.0655287078905218,1.067428693266832,1.071507653934428,1.0735599824448183,1.0762497691931434,1.0783840093076091,1.08540114989006,1.0884025256645877,1.0919746851890102,1.094886346407725,1.0982494730802492,1.1010879668275808,1.1044974604569868
2023-03-16,0,0,0,0,0,1.0000000000000002,1.0118280771339099,1.0220072651402439,1.0341427926548232,1.0435411567487174,1.0475024160732966,1.0493535393917894,1.0528038902102421,1.0555699194910506,1.0574272814583916,1.060873877399914,1.063234362076007,1.0657210017649812,1.0682214975562285,1.0731418945176103,1.0755409072713666,1.0787122028746645,1.0810187821225452,1.0825705469732547,1.0852580377325076,1.0879424031106573
2023-03-20,0,0,0,0,0,0,1.0000000000000002,1.0104478072559175,1.0223737129177408,1.030915747626321,1.034505399199448,1.037282493534113,1.0409696575065621,1.0438991513098395,1.0459513819975932,1.0495199481907918,1.051777613059682,1.05447910484181,1.056767213780657,1.0627318427003234,1.0656018879834448,1.0689695650233921,1.071742075649541,1.0745624217318506,1.0773151136044639,1.0803895150405864
2023-03-24,0,0,0,0,0,0,0,0.9999999999999999,1.0115783742258473,1.0204347453742737,1.0247086685509292,1.0280748665169304,1.0318155758302876,1.0347418970425737,1.036886383994519,1.0402644033614843,1.042599870919662,1.0453234445384905,1.047663120832809,1.053251727281591,1.0561053119395694,1.0594047086146308,1.0621493877102657,1.064822379998915,1.067539580204541,1.0705022444412302
2023-03-28,0,0,0,0,0,0,0,0,1.0,1.008990363515145,1.013760377697117,1.017728825227258,1.0215398956789141,1.024489295798199,1.0267226037314015,1.0299460677672156,1.0323286087131234,1.0350939294388317,1.0374429477477731,1.042858146556666,1.0457422234693678,1.0489981720350134,1.0517700002637729,1.054468606488571,1.057162157196151,1.0600695087053214
2023-04-01,0,0,0,0,0,0,0,0,0,0.9999999999999999,1.0058198270991652,1.0101678858241327,1.0139435463476885,1.0167778795643143,1.0190825343649532,1.0220261371426163,1.0245457812461123,1.0272553631260732,1.0297558258334594,1.0342298214773642,1.0368977876009484,1.0399775263866107,1.0425069871551533,1.0444560747766025,1.0470603093103112,1.0496483079616465
