,2023-02-24,2023-02-28,2023-03-04,2023-03-08,2023-03-12,2023-03-16,2023-03-20,2023-03-24,2023-03-28,2023-04-01,2023-04-05,2023-04-09,2023-04-13,2023-04-17,2023-04-21,2023-04-25,2023-04-29,2023-05-03,2023-05-07,2023-05-11,2023-05-15,2023-05-19,2023-05-23,2023-05-27,2023-05-31,2023-06-04
2023-02-24,1.0,1.0166463014241416,1.0813413607953075,1.0981081790699712,1.1109218467057367,1.111451018984222,1.1379989210754333,1.1453427139300458,1.1618172300865368,1.1649645394340213,1.1600982461570708,1.158466976337733,1.162228775038865,1.1651948405470245,1.1672198949279133,1.1737765458000968,1.1749217432655152,1.1780935671286064,1.1793552499790214,1.19227860345973,1.1968288633852096,1.2016830733488608,1.206027618093878,1.2137116860684933,1.2169970492765976,1.2224867782134552
2023-02-28,0,1.0,1.062986960564444,1.0796753490724995,1.0922657047099036,1.0930612829969726,1.1189493539240372,1.1262407593893118,1.1423785746708794,1.1456335716048265,1.141040095105702,1.1394960693773661,1.1431991969732227,1.1461603669637013,1.1481165628052539,1.1544902612104126,1.1556548895074648,1.1587559538949426,1.1600352751918923,1.1725933558625568,1.1770313151726712,1.1817873241311943,1.186036857762768,1.1935040286462957,1.19674563004954,1.2021094948603386
2023-03-04,0,0,1.0,1.0213725070228377,1.032726547119771,1.032731482008548,1.0568658594434397,1.0650132887020518,1.0795219435270715,1.082912206525443,1.0797658509406487,1.0802995069816326,1.0842059915053286,1.0873649410922617,1.08945738293926,1.0951577209410492,1.0964310086405713,1.0996197107566044,1.1008495987848863,1.1129251896731447,1.1174100817833514,1.1219568920435388,1.1263112057731646,1.1340190229310714,1.1371787024763214,1.1423410431349272
2023-03-08,0,0,0,1.0,1.0108516496099915,1.0106415267504116,1.0339795866994603,1.042587837780391,1.0564070430340218,1.0599538447465755,1.0575423382511373,1.0590442671200486,1.0630620440421819,1.066339361109671,1.0684922922751647,1.0738840580886777,1.0752305876363666,1.0784661257768156,1.0796986169912337,1.0915361130960075,1.0960469758728058,1.1005126336782989,1.1049222811099122,1.112727149619329,1.1158679461325594,1.1209460939881104
2023-03-12,0,0,0,0,1.0,0.999623667746957,1.0225393186208822,1.0314686559845971,1.0448929684930643,1.0485374237514529,1.0465771583920307,1.04870699371599,1.0528096334099637,1.0561683862018665,1.058372642797001,1.0635898853819516,1.0649844299012,1.0682630043999852,1.0694974102011905,1.081232893063876,1.085779361720549,1.0902086706617151,1.094670619522831,1.102571902869555,1.1057090956881708,1.1107523779425927
2023-03-16,0,0,0,0,0,1.0000000000000002,1.0226710672670007,1.0320626092062195,1.0452186098184633,1.0490551751041677,1.0476014966504228,1.0504297454104956,1.0546698636100391,1.0581609728739754,1.0604388925808508,1.065516442769648,1.0669883092372974,1.0703458593985633,1.0716080983277407,1.0833283497032529,1.0879558404323464,1.0923942582806048,1.0969557329777646,1.105021774895047,1.108193681137754,1.1132491529303818
2023-03-20,0,0,0,0,0,0,1.0,1.009756183025314,1.022273350722499,1.0264388466191636,1.0258070101131336,1.0293722176251139,1.033661834724604,1.0372509300217232,1.0395229723603845,1.0442536850748336,1.045822164378646,1.0491641412801653,1.050478840382603,1.0617067619583311,1.0662684895246557,1.070593325949848,1.0751205915924906,1.0830441794755772,1.0861890049756435,1.0910944908580615
2023-03-24,0,0,0,0,0,0,0,1.0,1.0121071692077328,1.0165487501346304,1.0165595700196364,1.0207643073964687,1.0251328562077058,1.028823549007981,1.0311215417280517,1.035620964369569,1.037275449906708,1.0406388671774403,1.042000224557627,1.0529480648793004,1.057504467903824,1.0617763433504435,1.066320285533702,1.0742147675890261,1.0773613831543483,1.0821921846600648
2023-03-28,0,0,0,0,0,0,0,0,1.0,1.0045837951432675,1.0051077619409166,1.0099500467973301,1.01439808321541,1.0181621695949867,1.020513135061649,1.0248222507717615,1.0265328009002461,1.029932806321111,1.031306441914741,1.0420883290140928,1.0466683712176519,1.050895155859313,1.0554768240548067,1.063423453695301,1.0665614018276153,1.071340615018344
2023-04-01,0,0,0,0,0,0,0,0,0,0.9999999999999999,1.0010080921733697,1.0064134294362037,1.0109490285021097,1.014798444303951,1.0171995850243098,1.0213559536587824,1.0231321149896109,1.0265744013315694,1.0279769908663166,1.038626798660342,1.0432391685202587,1.0474450134095359,1.0520720111245536,1.060069277136381,1.0632169574920385,1.0679663951867777
2023-04-05,0,0,0,0,0,0,0,0,0,0,1.0,1.0058196763478349,1.0104222278851884,1.01434501529931,1.016776655819051,1.0208103781324949,1.0226485248892054,1.0261185889475741,1.0275586137359058,1.0380696946804189,1.0426979220330854,1.0468890205178782,1.051543062370964,1.0595461756073494,1.0627069587320463,1.0674284294972252
2023-04-09,0,0,0,0,0,0,0,0,0,0,0,1.0000000000000002,1.0046321874476942,1.0085970846197114,1.0110375485755632,1.0149381246333875,1.0168234901148,1.0202945017412421,1.021764421463681,1.0320746628270483,1.0366846619275472,1.0408377287978041,1.045483307726757,1.0534283132879192,1.0565830973972783,1.0612490513113202
